row_order	row_id	uniprot_accession_version	segment_start	segment_end	selection_role	normalized_non_gap_residues	normalized_gap_columns
1	HBA_HUMAN/27-137	P69905.2	27	137	query	111	7
2	A0A010R001_9PEZI/27-134	A0A010R001.1	27	134	evenly-spaced-eligible	104	14
3	A0A096MFI1_POEFO/26-142	A0A096MFI1.1	26	142	evenly-spaced-eligible	113	5
4	A0A0N4SXE9_BRUPA/37-149	A0A0N4SXE9.1	37	149	evenly-spaced-eligible	92	26
5	A0A178ZLR6_9EURO/57-164	A0A178ZLR6.1	57	164	evenly-spaced-eligible	105	13
6	A0A1I7SGZ4_BURXY/28-143	A0A1I7SGZ4.1	28	143	evenly-spaced-eligible	111	7
7	A0A1Y1I094_KLENI/49-153	A0A1Y1I094.1	49	153	evenly-spaced-eligible	101	17
8	A0A2I0WAL8_9ASPA/106-223	A0A2I0WAL8.1	106	223	evenly-spaced-eligible	92	26
9	A0A2Y9DEZ0_TRIMA/27-137	A0A2Y9DEZ0.1	27	137	evenly-spaced-eligible	110	8
10	A0A3N0BNW3_9MICC/26-136	A0A3N0BNW3.1	26	136	evenly-spaced-eligible	108	10
11	A0A443IU33_9BACI/27-134	A0A443IU33.1	27	134	evenly-spaced-eligible	105	13
12	A0A4W3IUQ1_CALMI/45-156	A0A4W3IUQ1.1	45	156	evenly-spaced-eligible	110	8
13	A0A5E4C8D4_MARMO/27-137	A0A5E4C8D4.1	27	137	evenly-spaced-eligible	111	7
14	A0A672PZR9_SINGR/27-138	A0A672PZR9.1	27	138	evenly-spaced-eligible	108	10
15	A0A6J2MDW7_9CHIR/43-162	A0A6J2MDW7.1	43	162	evenly-spaced-eligible	115	3
16	A0A7H8QT17_TALRU/25-132	A0A7H8QT17.1	25	132	evenly-spaced-eligible	103	15
17	A0A7K6S2D2_9AVES/25-137	A0A7K6S2D2.1	25	137	evenly-spaced-eligible	111	7
18	A0A7L0AWS6_9AVES/1-115	A0A7L0AWS6.1	1	115	evenly-spaced-eligible	112	6
19	A0A7L3FCQ4_9GRUI/26-142	A0A7L3FCQ4.1	26	142	evenly-spaced-eligible	115	3
20	A0A810NI36_9ACTN/3-107	A0A810NI36.1	3	107	evenly-spaced-eligible	103	15
21	A0A851XVR1_EOLRO/31-150	A0A851XVR1.1	31	150	evenly-spaced-eligible	115	3
22	A0A8C4T5Z5_ERPCA/56-152	A0A8C4T5Z5.1	56	152	evenly-spaced-eligible	92	26
23	A0A8H3UHL5_VENIN/27-134	A0A8H3UHL5.1	27	134	evenly-spaced-eligible	103	15
24	A0A8S9ZZ62_9BILA/145-263	A0A8S9ZZ62.1	145	263	evenly-spaced-eligible	112	6
25	A0A919DIM5_9ACTN/97-201	A0A919DIM5.1	97	201	evenly-spaced-eligible	105	13
26	A0A9K3PZF3_9STRA/33-152	A0A9K3PZF3.1	33	152	evenly-spaced-eligible	114	4
27	A0A9W9SG84_9EURO/31-138	A0A9W9SG84.1	31	138	evenly-spaced-eligible	105	13
28	A0AAD5L0A7_9CRUS/229-344	A0AAD5L0A7.1	229	344	evenly-spaced-eligible	112	6
29	A3VC53_9RHOB/18-121	A3VC53.1	18	121	evenly-spaced-eligible	93	25
30	G3WDN9_SARHA/27-137	G3WDN9.2	27	137	evenly-spaced-eligible	108	10
31	MYG_CHICK/27-143	P02197.4	27	143	evenly-spaced-eligible	112	6
32	YNX4_YEAST/189-293	P53857.1	189	293	evenly-spaced-eligible	85	33
