position_1based	index_0based	variant_record_count	provenance_class
1	0	0	transformed-real
2	1	0	transformed-real
3	2	0	transformed-real
4	3	0	transformed-real
5	4	1	transformed-real
6	5	1	transformed-real
7	6	1	transformed-real
8	7	1	transformed-real
9	8	0	transformed-real
10	9	1	transformed-real
11	10	2	transformed-real
12	11	0	transformed-real
13	12	0	transformed-real
14	13	0	transformed-real
15	14	1	transformed-real
16	15	1	transformed-real
17	16	1	transformed-real
18	17	0	transformed-real
19	18	0	transformed-real
20	19	0	transformed-real
21	20	0	transformed-real
22	21	0	transformed-real
23	22	0	transformed-real
24	23	1	transformed-real
25	24	0	transformed-real
26	25	0	transformed-real
27	26	0	transformed-real
28	27	1	transformed-real
29	28	1	transformed-real
30	29	1	transformed-real
31	30	1	transformed-real
32	31	0	transformed-real
33	32	1	transformed-real
34	33	1	transformed-real
35	34	1	transformed-real
36	35	1	transformed-real
37	36	2	transformed-real
38	37	0	transformed-real
39	38	2	transformed-real
40	39	0	transformed-real
41	40	0	transformed-real
42	41	1	transformed-real
43	42	1	transformed-real
44	43	3	transformed-real
45	44	1	transformed-real
46	45	2	transformed-real
47	46	2	transformed-real
48	47	1	transformed-real
49	48	3	transformed-real
50	49	0	transformed-real
51	50	0	transformed-real
52	51	1	transformed-real
53	52	2	transformed-real
54	53	2	transformed-real
55	54	0	transformed-real
56	55	2	transformed-real
57	56	0	transformed-real
58	57	2	transformed-real
59	58	3	transformed-real
60	59	3	transformed-real
61	60	2	transformed-real
62	61	1	transformed-real
63	62	2	transformed-real
64	63	0	transformed-real
65	64	1	transformed-real
66	65	2	transformed-real
67	66	3	transformed-real
68	67	2	transformed-real
69	68	4	transformed-real
70	69	1	transformed-real
71	70	1	transformed-real
72	71	5	transformed-real
73	72	3	transformed-real
74	73	1	transformed-real
75	74	3	transformed-real
76	75	2	transformed-real
77	76	1	transformed-real
78	77	1	transformed-real
79	78	3	transformed-real
80	79	2	transformed-real
81	80	1	transformed-real
82	81	2	transformed-real
83	82	2	transformed-real
84	83	2	transformed-real
85	84	2	transformed-real
86	85	1	transformed-real
87	86	1	transformed-real
88	87	2	transformed-real
89	88	2	transformed-real
90	89	2	transformed-real
91	90	1	transformed-real
92	91	3	transformed-real
93	92	2	transformed-real
94	93	2	transformed-real
95	94	2	transformed-real
96	95	3	transformed-real
97	96	3	transformed-real
98	97	2	transformed-real
99	98	2	transformed-real
100	99	1	transformed-real
101	100	2	transformed-real
102	101	1	transformed-real
103	102	0	transformed-real
104	103	2	transformed-real
105	104	5	transformed-real
106	105	2	transformed-real
107	106	3	transformed-real
108	107	2	transformed-real
109	108	3	transformed-real
110	109	6	transformed-real
111	110	4	transformed-real
112	111	2	transformed-real
113	112	6	transformed-real
114	113	0	transformed-real
115	114	1	transformed-real
116	115	3	transformed-real
117	116	2	transformed-real
118	117	3	transformed-real
119	118	2	transformed-real
120	119	4	transformed-real
121	120	1	transformed-real
122	121	1	transformed-real
123	122	2	transformed-real
124	123	5	transformed-real
125	124	5	transformed-real
126	125	7	transformed-real
127	126	5	transformed-real
128	127	4	transformed-real
129	128	4	transformed-real
130	129	6	transformed-real
131	130	7	transformed-real
132	131	9	transformed-real
133	132	7	transformed-real
134	133	5	transformed-real
135	134	7	transformed-real
136	135	5	transformed-real
137	136	4	transformed-real
138	137	5	transformed-real
139	138	5	transformed-real
140	139	5	transformed-real
141	140	7	transformed-real
142	141	7	transformed-real
143	142	5	transformed-real
144	143	5	transformed-real
145	144	5	transformed-real
146	145	5	transformed-real
147	146	6	transformed-real
148	147	6	transformed-real
149	148	3	transformed-real
150	149	6	transformed-real
151	150	6	transformed-real
152	151	6	transformed-real
153	152	7	transformed-real
154	153	6	transformed-real
155	154	6	transformed-real
156	155	6	transformed-real
157	156	6	transformed-real
158	157	9	transformed-real
159	158	7	transformed-real
160	159	7	transformed-real
161	160	10	transformed-real
162	161	6	transformed-real
163	162	6	transformed-real
164	163	6	transformed-real
165	164	5	transformed-real
166	165	5	transformed-real
167	166	6	transformed-real
168	167	11	transformed-real
169	168	6	transformed-real
170	169	6	transformed-real
171	170	6	transformed-real
172	171	5	transformed-real
173	172	6	transformed-real
174	173	6	transformed-real
175	174	7	transformed-real
176	175	7	transformed-real
177	176	9	transformed-real
178	177	9	transformed-real
179	178	8	transformed-real
180	179	6	transformed-real
181	180	6	transformed-real
182	181	3	transformed-real
183	182	2	transformed-real
184	183	5	transformed-real
185	184	6	transformed-real
186	185	6	transformed-real
187	186	6	transformed-real
188	187	2	transformed-real
189	188	6	transformed-real
190	189	6	transformed-real
191	190	5	transformed-real
192	191	7	transformed-real
193	192	9	transformed-real
194	193	6	transformed-real
195	194	7	transformed-real
196	195	5	transformed-real
197	196	4	transformed-real
198	197	5	transformed-real
199	198	4	transformed-real
200	199	6	transformed-real
201	200	4	transformed-real
202	201	7	transformed-real
203	202	6	transformed-real
204	203	7	transformed-real
205	204	6	transformed-real
206	205	2	transformed-real
207	206	7	transformed-real
208	207	8	transformed-real
209	208	4	transformed-real
210	209	7	transformed-real
211	210	5	transformed-real
212	211	5	transformed-real
213	212	5	transformed-real
214	213	5	transformed-real
215	214	7	transformed-real
216	215	6	transformed-real
217	216	6	transformed-real
218	217	5	transformed-real
219	218	6	transformed-real
220	219	6	transformed-real
221	220	5	transformed-real
222	221	6	transformed-real
223	222	6	transformed-real
224	223	4	transformed-real
225	224	6	transformed-real
226	225	5	transformed-real
227	226	4	transformed-real
228	227	8	transformed-real
229	228	5	transformed-real
